FL_DATE,state,latitude,longitude,temperature
2022-03-31,West Virginia,38.597626,-80.454903,16.63
2022-05-09,Arkansas,35.20105,-91.831833,23.79
2022-05-15,Nevada,38.80261,-116.419389,18.84
2022-06-02,Ohio,40.417287,-82.907123,20.34
2022-06-18,Indiana,40.551217,-85.602364,20.45
2022-07-24,Georgia,32.157435,-82.907123,27.79
2022-09-18,Minnesota,46.729553,-94.6859,16.93
2022-11-12,New Jersey,40.058324,-74.405661,19.81
2023-02-22,Virginia,37.431573,-78.656894,12.07
2023-03-20,Wisconsin,43.78444,-88.787868,1.88
2023-03-25,Illinois,40.633125,-89.398528,4.46
2023-04-20,Puerto Rico,18.220833,-66.590149,22.33
2023-06-07,Rhode Island,41.580095,-71.477429,16.39
2023-06-14,Minnesota,46.729553,-94.6859,21.13
2023-07-29,Minnesota,46.729553,-94.6859,19.17
2023-08-21,North Carolina,35.759573,-79.0193,28.99
2022-02-12,South Dakota,43.969515,-99.901813,-6.91
